Entity,Code,Date,Daily_ICU_occupancy
Belgium,BEL,24-03-2020,474
Belgium,BEL,25-03-2020,612
Belgium,BEL,26-03-2020,690
Belgium,BEL,27-03-2020,789
Belgium,BEL,28-03-2020,867
Belgium,BEL,29-03-2020,942
Belgium,BEL,30-03-2020,1021
Belgium,BEL,31-03-2020,1088
Belgium,BEL,01-04-2020,1144
Belgium,BEL,02-04-2020,1205
Belgium,BEL,03-04-2020,1245
Belgium,BEL,04-04-2020,1261
Belgium,BEL,05-04-2020,1267
Belgium,BEL,06-04-2020,1260
Belgium,BEL,07-04-2020,1276
Belgium,BEL,08-04-2020,1285
Belgium,BEL,09-04-2020,1278
Belgium,BEL,10-04-2020,1262
Belgium,BEL,11-04-2020,1232
Belgium,BEL,12-04-2020,1234
Belgium,BEL,13-04-2020,1226
Belgium,BEL,14-04-2020,1204
Belgium,BEL,15-04-2020,1182
Belgium,BEL,16-04-2020,1150
Belgium,BEL,17-04-2020,1119
Belgium,BEL,18-04-2020,1081
Belgium,BEL,19-04-2020,1071
Belgium,BEL,20-04-2020,1079
Belgium,BEL,21-04-2020,1020
Belgium,BEL,22-04-2020,993
Belgium,BEL,23-04-2020,970
Belgium,BEL,24-04-2020,934
Belgium,BEL,25-04-2020,901
Belgium,BEL,26-04-2020,903
Belgium,BEL,27-04-2020,876
Belgium,BEL,28-04-2020,797
Belgium,BEL,29-04-2020,769
Belgium,BEL,30-04-2020,749
Belgium,BEL,01-05-2020,690
Belgium,BEL,02-05-2020,684
Belgium,BEL,03-05-2020,655
Belgium,BEL,04-05-2020,646
Belgium,BEL,05-05-2020,582
Belgium,BEL,06-05-2020,542
Belgium,BEL,07-05-2020,508
Belgium,BEL,08-05-2020,502
Belgium,BEL,09-05-2020,475
Belgium,BEL,10-05-2020,477
Belgium,BEL,11-05-2020,465
Belgium,BEL,12-05-2020,427
Belgium,BEL,13-05-2020,407
Belgium,BEL,14-05-2020,380
Belgium,BEL,15-05-2020,364
Belgium,BEL,16-05-2020,345
Belgium,BEL,17-05-2020,342
Belgium,BEL,18-05-2020,345
Belgium,BEL,19-05-2020,313
Belgium,BEL,20-05-2020,277
Belgium,BEL,21-05-2020,268
Belgium,BEL,22-05-2020,259
Belgium,BEL,23-05-2020,256
Belgium,BEL,24-05-2020,251
Belgium,BEL,25-05-2020,249
Belgium,BEL,26-05-2020,223
Belgium,BEL,27-05-2020,209
Belgium,BEL,28-05-2020,187
Belgium,BEL,29-05-2020,173
Belgium,BEL,30-05-2020,168
Belgium,BEL,31-05-2020,164
Belgium,BEL,01-06-2020,166
Belgium,BEL,02-06-2020,172
Belgium,BEL,03-06-2020,145
Belgium,BEL,04-06-2020,137
Belgium,BEL,05-06-2020,121
Belgium,BEL,06-06-2020,111
Belgium,BEL,07-06-2020,116
Belgium,BEL,08-06-2020,115
Belgium,BEL,09-06-2020,102
Belgium,BEL,10-06-2020,99
Belgium,BEL,11-06-2020,89
Belgium,BEL,12-06-2020,88
Belgium,BEL,13-06-2020,82
Belgium,BEL,14-06-2020,85
Belgium,BEL,15-06-2020,75
Belgium,BEL,16-06-2020,67
Belgium,BEL,17-06-2020,60
Belgium,BEL,18-06-2020,52
Belgium,BEL,19-06-2020,50
Belgium,BEL,20-06-2020,53
Belgium,BEL,21-06-2020,50
Belgium,BEL,22-06-2020,42
Belgium,BEL,23-06-2020,41
Belgium,BEL,24-06-2020,40
Belgium,BEL,25-06-2020,38
Belgium,BEL,26-06-2020,36
Belgium,BEL,27-06-2020,34
Belgium,BEL,28-06-2020,36
Belgium,BEL,29-06-2020,41
Belgium,BEL,30-06-2020,37
Belgium,BEL,01-07-2020,36
Belgium,BEL,02-07-2020,35
Belgium,BEL,03-07-2020,32
Belgium,BEL,04-07-2020,29
Belgium,BEL,05-07-2020,30
Belgium,BEL,06-07-2020,27
Belgium,BEL,07-07-2020,32
Belgium,BEL,08-07-2020,32
Belgium,BEL,09-07-2020,36
Belgium,BEL,10-07-2020,32
Belgium,BEL,11-07-2020,28
Belgium,BEL,12-07-2020,27
Belgium,BEL,13-07-2020,23
Belgium,BEL,14-07-2020,27
Belgium,BEL,15-07-2020,27
Belgium,BEL,16-07-2020,28
Belgium,BEL,17-07-2020,28
